fips,county,Lat,Long
5133,Sevier,33.8335,-94.1177
5141,Van Buren|Faulkner,35.3671,-92.4106
8025,Crowley,38.2209,-103.7567
8049,Grand,40.0565,-106.3782
8087,Morgan,40.3134,-103.8023
9013,Tolland,41.7736,-72.3287
9015,Windham,41.9862,-71.9034
12053,Hernando,28.469,-82.5999
12061,Indian River,27.6378,-80.4855
12063,Jackson,30.7943,-85.226
12085,Martin,27.2161,-80.24
13021,Bibb,32.8065,-83.6974
13099,Early,31.2988,-84.717
13103,Effingham,32.3641,-81.3078
13127,Glynn,31.145,-81.474
13175,Laurens,32.3835,-82.9917
13225,Peach,32.5522,-83.8817
13247,Rockdale,33.6645,-83.9967
18119,Owen,39.2861,-86.7726
18157,Tippecanoe,40.5076,-86.8527
18177,Wayne,39.9447,-84.8308
19061,Dubuque,42.4477,-90.8448
19139,Muscatine|Cedar,41.5898,-91.0271
20021,Cherokee,37.0752,-94.6353
20107,Linn,38.179,-94.7053
20127,Morris,38.6623,-96.4917
20173,Sedgwick,37.5649,-97.3527
21047,Christian,36.8792,-87.6638
21059,Daviess,37.6831,-86.8698
21101,Henderson,37.7553,-87.5327
21199,Pulaski,37.011,-84.653
21209,Scott,38.2697,-84.6831
22007,Assumption,29.9886,-91.0555
22019,Calcasieu,30.2393,-93.0128
22045,Iberia,30.0049,-91.8202
22047,Iberville,30.161,-91.1495
22055,Lafayette,30.3126,-92.0387
22063,Livingston,30.4953,-90.7467
22075,Plaquemines,29.3443,-89.4683
22093,St. James,30.0917,-90.8844
22097,St. Landry,30.528,-92.0851
22119,Webster,32.525,-93.4118
22121,West Baton Rouge,30.4456,-91.2098
24009,Calvert,38.4728,-76.4895
24045,Wicomico,38.2672,-75.8938
25015,Hampshire,42.3757,-72.5188
26037,Clinton,42.9303,-84.798
26045,Eaton,42.6271,-85.0249
26049,Genesee,42.8453,-83.7086
26093,Livingston,42.4543,-83.9457
26111,Midland,43.6777,-84.3803
27099,Mower,43.5133,-92.5078
27139,Scott,44.7251,-93.4409
28051,Holmes,33.323,-90.2355
28067,Jones,31.7879,-89.0362
28123,Scott,32.4491,-89.4889
28147,Walthall,31.1173,-90.1444
28157,Wilkinson|Amite,31.087,-91.0654
28159,Winston,33.1224,-89.0553
28163,Yazoo,32.672,-90.5445
30007,Broadwater,46.4684,-111.6652
30029,Flathead,48.0858,-114.671
30057,Madison,45.3216,-112.1093
30085,Roosevelt,48.338,-104.4909
31127,Nemaha,40.4787,-95.7313
32007,Elko,40.7239,-115.479
34009,Cape May,38.9765,-74.9516
